Scholarship Name,Award Amount,When Funds Arrive,Application Opens,Application Deadline,Application Status,Priority Action,Link,Notes
Scholarships360 $10K No Essay,"$10,000",Jun 2026,Ongoing,Jun 2026,Open Now,🔴 APPLY THIS WEEK,https://scholarships360.org/scholarships/search/10000-no-essay-scholarship/,NEW — low effort no essay — deadline Jun 2026
Soroptimist Live Your Dream Award,"$10,000",Nov 2026,TBD,Nov 2026,Check Status,,https://www.soroptimist.org/our-work/live-your-dream-awards.html,"Traditionally women-focused but check current eligibility. If Emilio supports household or family, f"
Zonta International Amelia Earhart Fellowship,"$10,000",Nov 2026,TBD,Nov 2026,Check Status,,https://www.zonta.org/Global-Impact/Education/Amelia-Earhart-Fellowship,Graduate-level only. Plan for this during senior year at transfer school as a future target. Note fo
Tau Beta Pi Engineering Scholarship,"$10,000",Jan 2027,Sep 2026,Jan 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.tbp.org/scholarships.cfm,Check eligibility after transfer enrollment
Lockheed Martin STEM Scholarship,"$10,000",Jan 2027,Oct 2026,Jan 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,NEW — aerospace industry giant + $10K + direct career pipeline
EAA Aviation Center Scholarship (Ray Foundation),"$10,000",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://www.eaa.org/youth,NEW — aviation/aerospace specific + $10K
UNCF Scholarships,"$10,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://opportunities.uncf.org/s/pre-login-welcome-page,Multiple scholarships — apply to several
Northrop Grumman Scholarship,"$10,000",Feb 2027,Oct 2026,Feb 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.northropgrumman.com/careers/,NEW — aerospace/defense corp scholarship + diversity focus
Raytheon STEM Scholarship,"$10,000",Feb 2027,Oct 2026,Feb 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.rtx.com/our-company/citizenship-and-sustainability,NEW — defense/aerospace corp + diversity recruitment
Society of Automotive Engineers (SAE) Scholarship,"$10,000",Feb 2027,Feb 2027,Feb 2027,Check Status,,https://www.sae.org/scholarships,Opens Feb 2027 — mark calendar; aerospace + engineering fit
Google Generation Scholarship,"$10,000",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship,NEW — Google + minority engineering + $10K
National Space Club Goddard Scholarship,"$10,000",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://www.spaceclub.org/scholarship/,NEW — $10K space-specific scholarship — direct NASA pipeline fit
L3Harris Technologies Scholarship,"$10,000",Feb 2027,Oct 2026,Feb 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.l3harris.com/careers/students-and-new-grads,NEW — aerospace defense corp + diversity recruitment
Virginia Space Grant Consortium Scholarship,"$8,500",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://vsgc.odu.edu/,NEW — if Elijah attends Virginia Tech this is a strong add-on
NC Space Grant Consortium,"$8,500",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://spacegrant.net/apps/?pk=ncs1,NEW — NC RESIDENT + aerospace = direct state NASA grant pipeline — HIGH PRIORITY
National Space Grant College and Fellowship Program (NC Space Grant),"$8,500",Feb 2027,TBD,Feb 2027,Check Status,,https://ncspacegrant.org/students/,CRITICAL: NC resident + aerospace + NASA pipeline. Different from generic NASA internship. Apply thr
NASA Space Grant (Virginia track),"$8,500",Feb 2027,TBD,Feb 2027,Check Status,,https://vsgc.odu.edu/,High value if Emilio attends Virginia Tech. Apply through VSGC after enrollment.
Georgia Tech Transfer Merit Scholarship,"$8,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://finaid.gatech.edu/,Waiting on admission — GT aerospace is top-tier
University of Colorado Boulder Transfer Merit Aid,"$8,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.colorado.edu/financialaid/,ACCEPTED — apply for merit aid immediately
Tuskegee Airmen Scholarship Foundation,"$6,000",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://tuskegeeairmen.org/youth/tuskegee-airmen-scholarship-foundation/,NEW — aerospace-specific + minority legacy org
Purdue University Minority Engineering Scholarship,"$6,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://engineering.purdue.edu/Engr/AboutUs/DiversityInitiatives,Waiting on admission decision
Hispanic Heritage Foundation Youth Awards,"$5,000",Oct 2026,Aug 2026,Oct 2026,Check Status,,https://www.hispanicheritage.org/programs/,Latino + STEM + leadership strong fit
Pearson Scholarship (via PTK),"$5,000",Dec 2026,TBD,Dec 2026,Check Status,,https://www.ptk.org/scholarships/,NEW: Pearson sponsors PTK scholarships specifically for CC students transitioning to 4-year. Separat
American Institute of Aeronautics and Astronautics,"$5,000",Jan 2027,Jan 2027,Jan 2027,Check Status,,https://www.aiaa-awards.org/a,Direct aerospace fit — high priority
PTK All-USA Academic Team,"$5,000",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://www.ptk.org/scholarships/,Already PTK — strong profile fit
National Society of Black Engineers,"$5,000",Jan 2027,Sep 2026,Jan 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://nsbe.org/scholarships/,Direct STEM+Black fit
AIAA Orville & Wilbur Wright Graduate Award,"$5,000",Jan 2027,Jan 2027,Jan 2027,Check Status,,https://www.aiaa-awards.org/a,NEW — plan for faculty nomination at transfer school
BEYA STEM Conference Scholarship,"$5,000",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://www.beya.org/,NEW — Black Engineers of the Year — STEM + Black student fit
Hispanic Scholarship Fund,"$5,000",Feb 2027,Aug 2026,Feb 2027,Check Status,,https://www.hsf.net/scholarship,Strong fit — Latino + financial need + STEM
Virginia Tech Transfer Merit Scholarship,"$5,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://sfs.vt.edu/scholarships.html,ACCEPTED — apply for merit aid immediately
Ohio State Transfer Scholarship,"$5,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://sfa.osu.edu/,ACCEPTED — apply for merit aid immediately
UNCF/Koch Scholars Program,"$5,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://opportunities.uncf.org/s/pre-login-welcome-page,NEW — Black student STEM scholarship + renewable
UNCF STEM Scholars Program (Fund II Foundation),"$5,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://opportunities.uncf.org/s/pre-login-welcome-page,NEW — Black + STEM + financial need = direct fit
Microsoft Scholarship Program,"$5,000",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://careers.microsoft.com/students,NEW — tech giant minority STEM scholarship
National Hispanic Media Coalition Scholarship,"$5,000",Feb 2027,Oct 2026,Feb 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.nhmc.org/,NEW — Latino STEM/tech focus
Collins Aerospace Scholarship,"$5,000",Feb 2027,Oct 2026,Feb 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.collinsaerospace.com/careers/students-and-recent-graduates,NEW — Collins = major aerospace corp + diverse hiring push
Pratt & Whitney Scholarship,"$5,000",Feb 2027,Oct 2026,Feb 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://careers.rtx.com/global/en/pratt-whitney,NEW — propulsion focus aligns with aerospace/NASA work
Colorado Space Grant Consortium,"$5,000",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://spacegrant.colorado.edu/,NEW — if attending CU Boulder this unlocks NASA SGSC pipeline
NASA Space Grant Consortium (CU Boulder track),"$5,000",Feb 2027,TBD,Feb 2027,Check Status,,https://spacegrant.colorado.edu/,Opens after enrollment at CU Boulder. Activates NASA pipeline funding for undergrads. Apply during f
Navy League Foundation Scholarship,"$5,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.navyleague.org/what-we-do/our-programs/scholarship-program/,"Specifically Navy/Marine/Coast Guard family. If military parent served in one of these branches, str"
International Gas Turbine Institute (ASME IGTI) Student Award,"$5,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.asme.org/asme-programs/students-and-faculty/scholarships/,Propulsion-focused engineering award — directly aligned with aerospace/NASA career track.
Vertical Flight Foundation Scholarship,"$5,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.vtol.org/education/vertical-flight-foundation-scholarship,"VTOL/rotorcraft engineering scholarship — NASA relevance (Mars helicopter, etc.). Niche = less compe"
AMVETS Scholarship (Child/Grandchild),"$4,000",Jan 2027,Oct 2026,Jan 2027,Opens Soon,🟡 Opens Soon - Prep Now,https://www.amvets.org/scholarships/,NEW — military family dependent + $4K + AMVETS established org
Iowa State University Transfer Scholarship,"$4,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.financialaid.iastate.edu/types-of-aid/scholarships/,ACCEPTED — apply for merit aid immediately
Engineers Foundation of Ohio Scholarship,"$3,500",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://www.efostem.org/,NEW — if Elijah attends Ohio State this applies
NC Community College Transfer Grant,"$3,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.cfnc.org/pay-for-college/grants-and-scholarships/,Direct fit — NC CC transfer with financial need
Maryland Transfer Merit Scholarship,"$3,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://financialaid.umd.edu/,ACCEPTED — apply for merit aid immediately
Omega Psi Phi George E. Meares Scholarship,"$3,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.omegapsiphifraternity.org/,NEW — Black male aerospace student — worth applying
American Meteorological Society Minority Scholarship,"$3,000",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://www.ametsoc.org/ams/index.cfm/information-for/students/ams-scholarships-and-fellowships/,NEW — aerospace-adjacent + minority + financial need
P.E.O. Program for Continuing Education (PCE),"$3,000",Feb 2027,TBD,Feb 2027,Check Status,,https://www.peointernational.org/peo-programs/program-for-continuing-education/,"Women-focused returning student grant. If Emilio does not identify as a woman, this does not apply. "
Coca-Cola Academic Team Scholarship,"$2,500",Nov 2026,TBD,Nov 2026,Check Status,,https://www.ptk.org/scholarships/coca-cola-academic-team-scholarship/,"Up to 1,300 awards — high volume. Emilio is PTK & meets GPA. Must be nominated by college. Deadline "
Hero's Legacy Scholarship (Fisher House),"$2,500",Jan 2027,Nov 2026,Jan 2027,Check Status,,https://www.fisherhouse.org/programs/,NEW — Fisher House military children scholarship
American Helicopter Society Robert L. Lichten Award,"$2,500",Feb 2027,TBD,Feb 2027,Check Status,,https://www.vtol.org/education/lichten-award,Academic achievement award for rotary-wing engineering paper. Emilio can write one with faculty advi
Scholarships for Military Children,"$2,000",Feb 2027,Nov 2026,Feb 2027,Check Status,,https://www.fisherhouse.org/programs/scholarship-programs/scholarships-for-military-children/,Military family benefit — straightforward apply
Alpha Phi Alpha Educational Foundation Scholarship,"$2,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.alphaphialpha.net/foundation/,NEW — Black male merit scholarship
Scholarships360 Making the Leap (Transfer),"$1,000",Jan 2027,Ongoing,Jan 2027,Open Now,🔴 APPLY THIS WEEK,https://scholarships360.org/scholarships/search/making-the-leap-scholarship-for-transfer-students/,NEW — low effort transfer scholarship
Imagine America Foundation,"$1,000",Feb 2027,Ongoing,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.imagine-america.org/students/,Low effort — community college transfer
David Alan Quick Scholarship (AIAA),"$1,000",Feb 2027,Jan 2027,Feb 2027,Check Status,,https://www.aiaa-awards.org/a,NEW — small but low-competition aerospace specific
Zeta Phi Beta General Scholarship,"$1,000",Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.zphib1920.org/nef/,"NEW — low barrier,  community service focus"
QuestBridge National College Match,$4,Sep 2026,Mar 2026,Sep 2026,Check Status,,https://www.questbridge.org/,Check transfer eligibility — often for incoming freshmen
Gates Scholarship (formerly Gates Millennium),$0,Sep 2026,TBD,Sep 2026,Check Status,,https://www.thegatesscholarship.org/,Gates Scholarship traditionally for incoming freshmen. Verify if transfer-from-CC counts as new enro
National GEM Consortium Fellowship,$0,Nov 2026,Ongoing,Nov 2026,Open Now,🔴 APPLY THIS WEEK,https://www.gemfellowship.org/,NEW — massive fellowship for minority STEM grad pipeline — plan now for post-transfer
VA Fry Scholarship (Marine Gunnery Sergeant John David Fry),$0,Feb 2027,Ongoing,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.va.gov/education/survivor-dependent-education-assistance/,NEW — verify Chapter 35 vs Fry eligibility with VA — may stack benefits
Golden Door Scholars,$0,Feb 2027,TBD,Feb 2027,Check Status,,https://goldendoorscholars.org/,For children of immigrants with strong need. Latino + Black + military family immigrant background m
SciTech Forum AIAA Student Paper Competition,$0,Jan 2027,TBD,Jan 2027,Check Status,,https://www.aiaa.org/get-involved/students-young-professionals,Not a traditional scholarship but a competition that can pay for conference + adds to NASA resume. P
Frederick Douglass Bicentennial Scholarship (UNCF),$0,Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://opportunities.uncf.org/s/pre-login-welcome-page,NEW — UNCF specific program worth applying to
National Scholarship Providers Association,$0,Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.scholarshipproviders.org/,NEW — clearinghouse for multiple scholarships
Dr. Juan Andrade Jr. Scholarship for Young Hispanic Leaders,$0,Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://www.ushli.org/dr-juan-andrade-jr-scholarship-for-young-hispanic-leaders/,NEW — Latino heritage + PTK/Dean's List leadership = strong fit
TMCF Gap Completion Grant,$0,Feb 2027,Rolling,Feb 2027,Open Now,🔴 APPLY THIS WEEK,https://tmcf.org/scholarships/open-scholarships/,NEW — emergency/gap funding — rolling deadline
Daughters of the American Revolution STEM Scholarship,$0,Feb 2027,Nov 2026,Feb 2027,Check Status,,https://www.dar.org/national-society/scholarships,NEW — military family + STEM = enhanced fit; contact NC DAR chapter
DAR American Indian Scholarship (open to military family),$0,Feb 2027,Nov 2026,Feb 2027,Check Status,,https://www.dar.org/national-society/scholarships,NEW — check specific eligibility; military family + need = possible fit
PTK Pearson Scholarship for Higher Education,$0,Feb 2027,TBD,Feb 2027,Check Status,,https://www.ptk.org/scholarships/,Targeted for PTK members transitioning from CC to 4-year. Check current cycle at ptk.org — Emilio qu
Jose Marti Scholarship Challenge Grant,$0,Feb 2027,TBD,Feb 2027,Check Status,,https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home,Florida-only. Does NOT apply to NC resident Emilio unless he enrolls at a Florida school. Note for r
