Urgency Tier,Opportunity Name,Type,Award Amount,Days Until Deadline,Deadline,Fund Arrival,Application Status,Link,Notes
🔴 APPLY THIS WEEK,AFCEA Ralph W. Shrader Diversity Scholarships,Grant/Internship,$3000 undergrad / $4000 graduate,0,March 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY,https://www.afcea.org/scholarships,Armed Forces Communications & Electronics Association. For students in STEM fields with ties to military/national security missions. Military family background is strong asset. Also check AFCEA chapter scholarships which may have later deadlines.
🔴 APPLY THIS WEEK,National Military Family Association (NMFA) Scholarship,Grant/Internship,$2500 per award,0,February 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY,https://www.militaryfamily.org/project/scholarships-degree-funding/,For children of active-duty veterans Guard/Reserve members. Emilio qualifies based on military family status. Award funds educational expenses. Disbursed for fall semester. Apply February 2027 for next cycle.
🔴 APPLY THIS WEEK,SHPE Foundation Scholarship,Grant/Internship,$1000-$10000 (multiple tiers),2,April 2026,August 2026 (fall disbursement to school),⚠️ POSSIBLY STILL OPEN - check SHPE portal immediately,https://shpe.org/scholarships/,Society of Hispanic Professional Engineers annual scholarship. SHPE membership required (typically ~$35 student rate). Aerospace/engineering priority. Deadline often falls in April. Contact SHPE national office to confirm if Fall 2026 cycle is still accepting. Strong candidate profile match.
🟢 APPLY NEXT MONTH,Great Minds in STEM (GMiS) Scholarship,Scholarship,"$10,000",63,Jun 2026,Jun 2026,Check Status,https://greatmindsinstem.org/gmis-scholarship-application/gmis-scholarships/,2026-27 cycle opens Mar 2027 — mark calendar
🟢 APPLY NEXT MONTH,Scholarships360 $10K No Essay,Scholarship,"$10,000",63,Jun 2026,Jun 2026,Open Now,https://scholarships360.org/scholarships/search/10000-no-essay-scholarship/,NEW — low effort no essay — deadline Jun 2026
🟢 APPLY NEXT MONTH,QuestBridge National College Match,Scholarship,$4,155,Sep 2026,Sep 2026,Check Status,https://www.questbridge.org/,Check transfer eligibility — often for incoming freshmen
🟢 APPLY NEXT MONTH,Gates Scholarship (formerly Gates Millennium),Scholarship,$0,155,Sep 2026,Sep 2026,Check Status,https://www.thegatesscholarship.org/,Gates Scholarship traditionally for incoming freshmen. Verify if transfer-from-CC counts as new enro
🟢 APPLY NEXT MONTH,Hispanic Heritage Foundation Youth Awards,Scholarship,"$5,000",186,Oct 2026,Oct 2026,Check Status,https://www.hispanicheritage.org/programs/,Latino + STEM + leadership strong fit
🟢 APPLY NEXT MONTH,Jack Kent Cooke Transfer Scholarship,Scholarship,"$55,000",216,Nov 2026,Nov 2026,Opens Soon,https://apply.jkcf.org/apply/,TOP PRIORITY — transfer + financial need + exceptional GPA
🟢 APPLY NEXT MONTH,Elks Most Valuable Student Award,Scholarship,"$50,000",216,Nov 2026,Nov 2026,Opens Soon,https://www.elks.org/scholars/scholarships/MVS.cfm,NEW — one of largest youth scholarships; verify transfer eligibility
🟢 APPLY NEXT MONTH,Dell Scholars Program,Scholarship,"$20,000",216,Nov 2026,Nov 2026,Check Status,https://www.dellscholars.org/students/,$20K + laptop + book credits + emergency funds + coaching. Pell eligible + $55K household = strong f
🟢 APPLY NEXT MONTH,Soroptimist Live Your Dream Award,Scholarship,"$10,000",216,Nov 2026,Nov 2026,Check Status,https://www.soroptimist.org/our-work/live-your-dream-awards.html,"Traditionally women-focused but check current eligibility. If Emilio supports household or family, f"
🟢 APPLY NEXT MONTH,Zonta International Amelia Earhart Fellowship,Scholarship,"$10,000",216,Nov 2026,Nov 2026,Check Status,https://www.zonta.org/Global-Impact/Education/Amelia-Earhart-Fellowship,Graduate-level only. Plan for this during senior year at transfer school as a future target. Note fo
🟢 APPLY NEXT MONTH,Coca-Cola Academic Team Scholarship,Scholarship,"$2,500",216,Nov 2026,Nov 2026,Check Status,https://www.ptk.org/scholarships/coca-cola-academic-team-scholarship/,"Up to 1,300 awards — high volume. Emilio is PTK & meets GPA. Must be nominated by college. Deadline "
🟢 APPLY NEXT MONTH,National GEM Consortium Fellowship,Scholarship,$0,216,Nov 2026,Nov 2026,Open Now,https://www.gemfellowship.org/,NEW — massive fellowship for minority STEM grad pipeline — plan now for post-transfer
🟢 APPLY NEXT MONTH,Pearson Scholarship (via PTK),Scholarship,"$5,000",247,Dec 2026,Dec 2026,Check Status,https://www.ptk.org/scholarships/,NEW: Pearson sponsors PTK scholarships specifically for CC students transitioning to 4-year. Separat
🟢 APPLY NEXT MONTH,APIA Scholars Program (formerly APIASF),Scholarship,"$20,000",278,Jan 2027,Jan 2027,Check Status,https://apiascholars.org/scholarship/,For AAPI students. Does not apply to Emilio based on profile (Latino + Black). Include for completen
🟢 APPLY NEXT MONTH,AIAA Foundation Undergraduate Scholarship (Full Suite),Scholarship,"$15,000",278,Jan 2027,Jan 2027,Check Status,https://www.aiaa-awards.org/a,NEW — full AIAA suite beyond the basic entry — join AIAA student chapter now
🟢 APPLY NEXT MONTH,Tau Beta Pi Engineering Scholarship,Scholarship,"$10,000",278,Jan 2027,Jan 2027,Opens Soon,https://www.tbp.org/scholarships.cfm,Check eligibility after transfer enrollment
🟢 APPLY NEXT MONTH,Lockheed Martin STEM Scholarship,Scholarship,"$10,000",278,Jan 2027,Jan 2027,Opens Soon,https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,NEW — aerospace industry giant + $10K + direct career pipeline
🟢 APPLY NEXT MONTH,EAA Aviation Center Scholarship (Ray Foundation),Scholarship,"$10,000",278,Jan 2027,Jan 2027,Check Status,https://www.eaa.org/youth,NEW — aviation/aerospace specific + $10K
🟢 APPLY NEXT MONTH,Tuskegee Airmen Scholarship Foundation,Scholarship,"$6,000",278,Jan 2027,Jan 2027,Check Status,https://tuskegeeairmen.org/youth/tuskegee-airmen-scholarship-foundation/,NEW — aerospace-specific + minority legacy org
🟢 APPLY NEXT MONTH,American Institute of Aeronautics and Astronautics,Scholarship,"$5,000",278,Jan 2027,Jan 2027,Check Status,https://www.aiaa-awards.org/a,Direct aerospace fit — high priority
🟢 APPLY NEXT MONTH,PTK All-USA Academic Team,Scholarship,"$5,000",278,Jan 2027,Jan 2027,Check Status,https://www.ptk.org/scholarships/,Already PTK — strong profile fit
🟢 APPLY NEXT MONTH,National Society of Black Engineers,Scholarship,"$5,000",278,Jan 2027,Jan 2027,Opens Soon,https://nsbe.org/scholarships/,Direct STEM+Black fit
🟢 APPLY NEXT MONTH,AIAA Orville & Wilbur Wright Graduate Award,Scholarship,"$5,000",278,Jan 2027,Jan 2027,Check Status,https://www.aiaa-awards.org/a,NEW — plan for faculty nomination at transfer school
🟢 APPLY NEXT MONTH,BEYA STEM Conference Scholarship,Scholarship,"$5,000",278,Jan 2027,Jan 2027,Check Status,https://www.beya.org/,NEW — Black Engineers of the Year — STEM + Black student fit
🟢 APPLY NEXT MONTH,AMVETS Scholarship (Child/Grandchild),Scholarship,"$4,000",278,Jan 2027,Jan 2027,Opens Soon,https://www.amvets.org/scholarships/,NEW — military family dependent + $4K + AMVETS established org
🟢 APPLY NEXT MONTH,Engineers Foundation of Ohio Scholarship,Scholarship,"$3,500",278,Jan 2027,Jan 2027,Check Status,https://www.efostem.org/,NEW — if Elijah attends Ohio State this applies
🟢 APPLY NEXT MONTH,Hero's Legacy Scholarship (Fisher House),Scholarship,"$2,500",278,Jan 2027,Jan 2027,Check Status,https://www.fisherhouse.org/programs/,NEW — Fisher House military children scholarship
🟢 APPLY NEXT MONTH,Scholarships360 Making the Leap (Transfer),Scholarship,"$1,000",278,Jan 2027,Jan 2027,Open Now,https://scholarships360.org/scholarships/search/making-the-leap-scholarship-for-transfer-students/,NEW — low effort transfer scholarship
🟢 APPLY NEXT MONTH,SciTech Forum AIAA Student Paper Competition,Scholarship,$0,278,Jan 2027,Jan 2027,Check Status,https://www.aiaa.org/get-involved/students-young-professionals,Not a traditional scholarship but a competition that can pay for conference + adds to NASA resume. P
🟢 APPLY NEXT MONTH,College Board Opportunity Scholarships,Scholarship,"$40,000",306,Feb 2027,Feb 2027,Open Now,https://bigfuture.collegeboard.org/pay-for-college/scholarship-search,Low effort to apply
🟢 APPLY NEXT MONTH,Phi Kappa Phi Fellowship (post-transfer),Scholarship,"$35,000",306,Feb 2027,Feb 2027,Check Status,https://www.phikappaphi.org/awards-grants/love-of-learning-award,Join Phi Kappa Phi in first semester at transfer school (GPA 3.5+ typically qualifies). Then apply f
🟢 APPLY NEXT MONTH,American Legion Legacy Scholarship,Scholarship,"$20,000",306,Feb 2027,Feb 2027,Check Status,https://www.legion.org/get-involved/scholarships/the-american-legion-legacy-scholarship,Needs-based gap scholarship up to $20K. Verify if Emilio's parent has 50%+ VA disability rating — th
🟢 APPLY NEXT MONTH,American Indian College Fund (Transfer),Scholarship,"$20,000",306,Feb 2027,Feb 2027,Check Status,https://collegefund.org/students/scholarships/,"If Emilio has any Native American heritage beyond Latino+Black, this is a strong option. Verify heri"
🟢 APPLY NEXT MONTH,NASA Minority University Research and Education Project (MUREP),Scholarship,"$16,000",306,Feb 2027,Feb 2027,Check Status,https://www.nasa.gov/learning-opportunities/,MUREP internship stipend + potential scholarship tie-in. Not purely scholarship but NASA-paid resear
🟢 APPLY NEXT MONTH,ASME Scholarship (2+2 Transfer Program),Scholarship,"$15,000",306,Feb 2027,Feb 2027,Check Status,https://www.asme.org/asme-programs/students-and-faculty/scholarships/4-year-baccalaureate-graduate-students,Explicitly includes 2+2 Transfer Program track. Must join ASME student chapter (~$25 membership). Op
🟢 APPLY NEXT MONTH,Society of Women Engineers (SWE) Scholarship,Scholarship,"$15,000",306,Feb 2027,Feb 2027,Check Status,https://swe.org/scholarships/,"SWE offers 330+ scholarships annually. If Emilio identifies as a woman or gender minority, this unlo"
🟢 APPLY NEXT MONTH,UNCF Scholarships,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Open Now,https://opportunities.uncf.org/s/pre-login-welcome-page,Multiple scholarships — apply to several
🟢 APPLY NEXT MONTH,Northrop Grumman Scholarship,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Opens Soon,https://www.northropgrumman.com/careers/,NEW — aerospace/defense corp scholarship + diversity focus
🟢 APPLY NEXT MONTH,Raytheon STEM Scholarship,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Opens Soon,https://www.rtx.com/our-company/citizenship-and-sustainability,NEW — defense/aerospace corp + diversity recruitment
🟢 APPLY NEXT MONTH,Society of Automotive Engineers (SAE) Scholarship,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Check Status,https://www.sae.org/scholarships,Opens Feb 2027 — mark calendar; aerospace + engineering fit
🟢 APPLY NEXT MONTH,Google Generation Scholarship,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Check Status,https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship,NEW — Google + minority engineering + $10K
🟢 APPLY NEXT MONTH,National Space Club Goddard Scholarship,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Check Status,https://www.spaceclub.org/scholarship/,NEW — $10K space-specific scholarship — direct NASA pipeline fit
🟢 APPLY NEXT MONTH,L3Harris Technologies Scholarship,Scholarship,"$10,000",306,Feb 2027,Feb 2027,Opens Soon,https://www.l3harris.com/careers/students-and-new-grads,NEW — aerospace defense corp + diversity recruitment
🟢 APPLY NEXT MONTH,Virginia Space Grant Consortium Scholarship,Scholarship,"$8,500",306,Feb 2027,Feb 2027,Check Status,https://vsgc.odu.edu/,NEW — if Elijah attends Virginia Tech this is a strong add-on
🟢 APPLY NEXT MONTH,NC Space Grant Consortium,Scholarship,"$8,500",306,Feb 2027,Feb 2027,Check Status,https://spacegrant.net/apps/?pk=ncs1,NEW — NC RESIDENT + aerospace = direct state NASA grant pipeline — HIGH PRIORITY
🟢 APPLY NEXT MONTH,National Space Grant College and Fellowship Program (NC Space Grant),Scholarship,"$8,500",306,Feb 2027,Feb 2027,Check Status,https://ncspacegrant.org/students/,CRITICAL: NC resident + aerospace + NASA pipeline. Different from generic NASA internship. Apply thr
🟢 APPLY NEXT MONTH,NASA Space Grant (Virginia track),Scholarship,"$8,500",306,Feb 2027,Feb 2027,Check Status,https://vsgc.odu.edu/,High value if Emilio attends Virginia Tech. Apply through VSGC after enrollment.
🟢 APPLY NEXT MONTH,Georgia Tech Transfer Merit Scholarship,Scholarship,"$8,000",306,Feb 2027,Feb 2027,Open Now,https://finaid.gatech.edu/,Waiting on admission — GT aerospace is top-tier
🟢 APPLY NEXT MONTH,University of Colorado Boulder Transfer Merit Aid,Scholarship,"$8,000",306,Feb 2027,Feb 2027,Open Now,https://www.colorado.edu/financialaid/,ACCEPTED — apply for merit aid immediately
🟢 APPLY NEXT MONTH,Purdue University Minority Engineering Scholarship,Scholarship,"$6,000",306,Feb 2027,Feb 2027,Open Now,https://engineering.purdue.edu/Engr/AboutUs/DiversityInitiatives,Waiting on admission decision
🟢 APPLY NEXT MONTH,Hispanic Scholarship Fund,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://www.hsf.net/scholarship,Strong fit — Latino + financial need + STEM
🟢 APPLY NEXT MONTH,Virginia Tech Transfer Merit Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Open Now,https://sfs.vt.edu/scholarships.html,ACCEPTED — apply for merit aid immediately
🟢 APPLY NEXT MONTH,Ohio State Transfer Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Open Now,https://sfa.osu.edu/,ACCEPTED — apply for merit aid immediately
🟢 APPLY NEXT MONTH,UNCF/Koch Scholars Program,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Open Now,https://opportunities.uncf.org/s/pre-login-welcome-page,NEW — Black student STEM scholarship + renewable
🟢 APPLY NEXT MONTH,UNCF STEM Scholars Program (Fund II Foundation),Scholarship,"$5,000",306,Feb 2027,Feb 2027,Open Now,https://opportunities.uncf.org/s/pre-login-welcome-page,NEW — Black + STEM + financial need = direct fit
🟢 APPLY NEXT MONTH,Microsoft Scholarship Program,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://careers.microsoft.com/students,NEW — tech giant minority STEM scholarship
🟢 APPLY NEXT MONTH,National Hispanic Media Coalition Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Opens Soon,https://www.nhmc.org/,NEW — Latino STEM/tech focus
🟢 APPLY NEXT MONTH,Collins Aerospace Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Opens Soon,https://www.collinsaerospace.com/careers/students-and-recent-graduates,NEW — Collins = major aerospace corp + diverse hiring push
🟢 APPLY NEXT MONTH,Pratt & Whitney Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Opens Soon,https://careers.rtx.com/global/en/pratt-whitney,NEW — propulsion focus aligns with aerospace/NASA work
🟢 APPLY NEXT MONTH,Colorado Space Grant Consortium,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://spacegrant.colorado.edu/,NEW — if attending CU Boulder this unlocks NASA SGSC pipeline
🟢 APPLY NEXT MONTH,NASA Space Grant Consortium (CU Boulder track),Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://spacegrant.colorado.edu/,Opens after enrollment at CU Boulder. Activates NASA pipeline funding for undergrads. Apply during f
🟢 APPLY NEXT MONTH,Navy League Foundation Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://www.navyleague.org/what-we-do/our-programs/scholarship-program/,"Specifically Navy/Marine/Coast Guard family. If military parent served in one of these branches, str"
🟢 APPLY NEXT MONTH,International Gas Turbine Institute (ASME IGTI) Student Award,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://www.asme.org/asme-programs/students-and-faculty/scholarships/,Propulsion-focused engineering award — directly aligned with aerospace/NASA career track.
🟢 APPLY NEXT MONTH,Vertical Flight Foundation Scholarship,Scholarship,"$5,000",306,Feb 2027,Feb 2027,Check Status,https://www.vtol.org/education/vertical-flight-foundation-scholarship,"VTOL/rotorcraft engineering scholarship — NASA relevance (Mars helicopter, etc.). Niche = less compe"
🟢 APPLY NEXT MONTH,Iowa State University Transfer Scholarship,Scholarship,"$4,000",306,Feb 2027,Feb 2027,Open Now,https://www.financialaid.iastate.edu/types-of-aid/scholarships/,ACCEPTED — apply for merit aid immediately
🟢 APPLY NEXT MONTH,NC Community College Transfer Grant,Scholarship,"$3,000",306,Feb 2027,Feb 2027,Open Now,https://www.cfnc.org/pay-for-college/grants-and-scholarships/,Direct fit — NC CC transfer with financial need
🟢 APPLY NEXT MONTH,Maryland Transfer Merit Scholarship,Scholarship,"$3,000",306,Feb 2027,Feb 2027,Open Now,https://financialaid.umd.edu/,ACCEPTED — apply for merit aid immediately
🟢 APPLY NEXT MONTH,Omega Psi Phi George E. Meares Scholarship,Scholarship,"$3,000",306,Feb 2027,Feb 2027,Open Now,https://www.omegapsiphifraternity.org/,NEW — Black male aerospace student — worth applying
🟢 APPLY NEXT MONTH,American Meteorological Society Minority Scholarship,Scholarship,"$3,000",306,Feb 2027,Feb 2027,Check Status,https://www.ametsoc.org/ams/index.cfm/information-for/students/ams-scholarships-and-fellowships/,NEW — aerospace-adjacent + minority + financial need
🟢 APPLY NEXT MONTH,P.E.O. Program for Continuing Education (PCE),Scholarship,"$3,000",306,Feb 2027,Feb 2027,Check Status,https://www.peointernational.org/peo-programs/program-for-continuing-education/,"Women-focused returning student grant. If Emilio does not identify as a woman, this does not apply. "
🟢 APPLY NEXT MONTH,American Helicopter Society Robert L. Lichten Award,Scholarship,"$2,500",306,Feb 2027,Feb 2027,Check Status,https://www.vtol.org/education/lichten-award,Academic achievement award for rotary-wing engineering paper. Emilio can write one with faculty advi
🟢 APPLY NEXT MONTH,Scholarships for Military Children,Scholarship,"$2,000",306,Feb 2027,Feb 2027,Check Status,https://www.fisherhouse.org/programs/scholarship-programs/scholarships-for-military-children/,Military family benefit — straightforward apply
🟢 APPLY NEXT MONTH,Alpha Phi Alpha Educational Foundation Scholarship,Scholarship,"$2,000",306,Feb 2027,Feb 2027,Open Now,https://www.alphaphialpha.net/foundation/,NEW — Black male merit scholarship
🟢 APPLY NEXT MONTH,Imagine America Foundation,Scholarship,"$1,000",306,Feb 2027,Feb 2027,Open Now,https://www.imagine-america.org/students/,Low effort — community college transfer
🟢 APPLY NEXT MONTH,David Alan Quick Scholarship (AIAA),Scholarship,"$1,000",306,Feb 2027,Feb 2027,Check Status,https://www.aiaa-awards.org/a,NEW — small but low-competition aerospace specific
🟢 APPLY NEXT MONTH,Zeta Phi Beta General Scholarship,Scholarship,"$1,000",306,Feb 2027,Feb 2027,Open Now,https://www.zphib1920.org/nef/,"NEW — low barrier,  community service focus"
🟢 APPLY NEXT MONTH,VA Fry Scholarship (Marine Gunnery Sergeant John David Fry),Scholarship,$0,306,Feb 2027,Feb 2027,Open Now,https://www.va.gov/education/survivor-dependent-education-assistance/,NEW — verify Chapter 35 vs Fry eligibility with VA — may stack benefits
🟢 APPLY NEXT MONTH,Golden Door Scholars,Scholarship,$0,306,Feb 2027,Feb 2027,Check Status,https://goldendoorscholars.org/,For children of immigrants with strong need. Latino + Black + military family immigrant background m
🟢 APPLY NEXT MONTH,Frederick Douglass Bicentennial Scholarship (UNCF),Scholarship,$0,306,Feb 2027,Feb 2027,Open Now,https://opportunities.uncf.org/s/pre-login-welcome-page,NEW — UNCF specific program worth applying to
🟢 APPLY NEXT MONTH,National Scholarship Providers Association,Scholarship,$0,306,Feb 2027,Feb 2027,Open Now,https://www.scholarshipproviders.org/,NEW — clearinghouse for multiple scholarships
🟢 APPLY NEXT MONTH,Dr. Juan Andrade Jr. Scholarship for Young Hispanic Leaders,Scholarship,$0,306,Feb 2027,Feb 2027,Open Now,https://www.ushli.org/dr-juan-andrade-jr-scholarship-for-young-hispanic-leaders/,NEW — Latino heritage + PTK/Dean's List leadership = strong fit
🟢 APPLY NEXT MONTH,TMCF Gap Completion Grant,Scholarship,$0,306,Feb 2027,Feb 2027,Open Now,https://tmcf.org/scholarships/open-scholarships/,NEW — emergency/gap funding — rolling deadline
🟢 APPLY NEXT MONTH,Daughters of the American Revolution STEM Scholarship,Scholarship,$0,306,Feb 2027,Feb 2027,Check Status,https://www.dar.org/national-society/scholarships,NEW — military family + STEM = enhanced fit; contact NC DAR chapter
🟢 APPLY NEXT MONTH,DAR American Indian Scholarship (open to military family),Scholarship,$0,306,Feb 2027,Feb 2027,Check Status,https://www.dar.org/national-society/scholarships,NEW — check specific eligibility; military family + need = possible fit
🟢 APPLY NEXT MONTH,PTK Pearson Scholarship for Higher Education,Scholarship,$0,306,Feb 2027,Feb 2027,Check Status,https://www.ptk.org/scholarships/,Targeted for PTK members transitioning from CC to 4-year. Check current cycle at ptk.org — Emilio qu
🟢 APPLY NEXT MONTH,Jose Marti Scholarship Challenge Grant,Scholarship,$0,306,Feb 2027,Feb 2027,Check Status,https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home,Florida-only. Does NOT apply to NC resident Emilio unless he enrolls at a Florida school. Note for r
⚪ NO DEADLINE,DoD SMART Scholarship-for-Service,Grant/Internship,Full tuition + $25000-$38000 annual stipend + health insurance,999,December 2025 (2026-27 cohort),August 2026 (if awarded for Fall 2026 start),❌ CLOSED - next cycle opens Sept 2026 for Fall 2027,https://www.smartscholarship.org/,Full-ride scholarship with guaranteed DOD civilian employment post-grad. Aerospace engineering is a perfect fit for defense sector. Emilio should apply for Fall 2027 cohort opening Sept 2026. Note: requires commitment to DOD service (1 year per year funded).
⚪ NO DEADLINE,NASA OSTEM Internship - Fall 2026,Grant/Internship,~$7500-$18000 (15-week stipend based on academic level),999,May 22 2026,August 2026 (bi-weekly during internship),✅ OPEN - deadline confirmed,https://stemgateway.nasa.gov/s/,CONFIRMED open (NASA.gov). US citizen; GPA 3.0+; undergrad through grad. Aerospace engineering is prime fit. 10 wks summer / 15 wks fall. Stipend is ~$25-30/hr. Apply at stemgateway.nasa.gov.
⚪ NO DEADLINE,National GEM Consortium MS Fellowship,Grant/Internship,$16000 min stipend (entire MS) + full tuition + 2 paid summer internships,999,November 2025 (2026 cohort),August 2026 (if entering MS program Fall 2026),❌ CLOSED for Fall 2026 cohort,https://www.gemfellowship.org/gem-fellowship-program/,For underrepresented students entering MS/PhD in engineering or science. Employer sponsors pay stipend and internships. If Emilio is graduating and heading to grad school Fall 2026 he should be in the 2026 cohort (deadline Nov 2025). Critical: Apply Nov 2026 for Fall 2027 MS entry.
⚪ NO DEADLINE,UNCF General Scholarship Portal (multiple programs),Grant/Internship,$500-$10000+ (varies by program),999,Multiple rolling deadlines,August 2026,✅ CHECK PORTAL - some programs open year-round,https://opportunities.uncf.org/s/pre-login-welcome-page,UNCF manages 400+ scholarship programs. Several have rolling deadlines or late-spring openings. Create profile and apply to all matching programs. Key programs: Fund II Foundation STEM Scholars; Frederick Douglass Bicentennial Scholarship; Northern California Community Scholarship (for HBCU enrollment).
⚪ NO DEADLINE,Northrop Grumman STEM Scholarship (via UNCF/NSBE partnership),Grant/Internship,$10000 per year,999,February-March 2026,August 2026 (fall disbursement),❌ CLOSED for 2026-27 AY - check UNCF/NSBE portals,https://www.northropgrumman.com/who-we-are/corporate-responsibility/community/education/,Northrop Grumman funds scholarships through UNCF and NSBE. Aerospace/engineering focus; minority students preferred. Also check Northrop's direct 'HBCU/HSI Grant Program'. Awards disburse Fall 2026 to current awardees.
